season_id,team_id,team_name,player_id,player_name,position,source_type,custom,acquisition_source,auction_round,cost,overall_pick,draft_round,order_position
season-schema-6-completed,team-alpha,Alpha,9b352803-176a-4cea-acf3-14e44ec25719,A-DST-1,DST,NFL,false,CONVENTIONAL,,,23,12,1
season-schema-6-completed,team-alpha,Alpha,6266ae2b-e9a6-47f1-a59d-a28c009f60bf,A-DST-2,DST,NFL,false,CONVENTIONAL,,,25,13,1
season-schema-6-completed,team-alpha,Alpha,385bb519-fe6f-4744-ae9a-bc05938c5be0,A-K-1,K,NFL,false,CONVENTIONAL,,,19,10,1
season-schema-6-completed,team-alpha,Alpha,66208f19-48e3-4310-aaba-baa222c71bb5,A-K-2,K,NFL,false,CONVENTIONAL,,,21,11,1
season-schema-6-completed,team-alpha,Alpha,0986a4f8-4dcb-4cf8-8ca2-29c2e6139d38,A-QB-1,QB,NFL,false,AUCTION,1,60,,,
season-schema-6-completed,team-alpha,Alpha,edf22ca4-0f71-485f-8d00-77e0f8cb9968,A-QB-2,QB,NFL,false,CONVENTIONAL,,,1,1,1
season-schema-6-completed,team-alpha,Alpha,bcb84a94-f685-42fa-ac4a-20f8862b3888,A-RB-1,RB,NFL,false,CONVENTIONAL,,,3,2,1
season-schema-6-completed,team-alpha,Alpha,38c6e537-0f6a-4c9a-820a-7789212176e6,A-RB-2,RB,NFL,false,CONVENTIONAL,,,5,3,1
season-schema-6-completed,team-alpha,Alpha,a715afce-e848-4bde-8be9-7ac5d11c9238,A-RB-3,RB,NFL,false,CONVENTIONAL,,,7,4,1
season-schema-6-completed,team-alpha,Alpha,1b59f96a-43eb-46bc-941b-a7efa0a291d3,A-TE-1,TE,NFL,false,CONVENTIONAL,,,15,8,1
season-schema-6-completed,team-alpha,Alpha,aff4525c-52f4-4f6e-9743-a0d00f2e2cc0,A-TE-2,TE,NFL,false,CONVENTIONAL,,,17,9,1
season-schema-6-completed,team-alpha,Alpha,b317e2a2-1d64-4519-9679-55f44179dc39,A-WR-1,WR,NFL,false,CONVENTIONAL,,,9,5,1
season-schema-6-completed,team-alpha,Alpha,4e0fdf64-2898-4012-bf5f-9225177bc745,A-WR-2,WR,NFL,false,CONVENTIONAL,,,11,6,1
season-schema-6-completed,team-alpha,Alpha,583fcace-48c2-404d-b802-449886c3ccee,A-WR-3,WR,NFL,false,CONVENTIONAL,,,13,7,1
season-schema-6-completed,team-beta,Beta,c7a99fc8-b584-418e-92c4-d3b71664c31f,B-DST-1,DST,NFL,false,CONVENTIONAL,,,22,11,2
season-schema-6-completed,team-beta,Beta,2f156a43-9c09-4e72-965d-2345d4ef92e1,B-DST-2,DST,NFL,false,CONVENTIONAL,,,24,12,2
season-schema-6-completed,team-beta,Beta,c89cee8e-eb19-481d-82b0-9b7385a6513a,B-K-2,K,NFL,false,CONVENTIONAL,,,20,10,2
season-schema-6-completed,team-beta,Beta,cca9f755-f70e-40b6-867d-e8aa71ff11c9,B-QB-1,QB,NFL,false,AUCTION,1,10,,,
season-schema-6-completed,team-beta,Beta,149964cf-7ad4-4e70-b00e-370e5ae8c54d,B-QB-2,QB,NFL,false,CONVENTIONAL,,,2,1,2
season-schema-6-completed,team-beta,Beta,18e21a52-c0f2-459e-b54d-474b38c7de16,B-RB-1,RB,NFL,false,CONVENTIONAL,,,4,2,2
season-schema-6-completed,team-beta,Beta,69da2589-b3c0-4870-805a-f14abcb50ddd,B-RB-2,RB,NFL,false,CONVENTIONAL,,,6,3,2
season-schema-6-completed,team-beta,Beta,ccda1e0f-3e9c-4496-bfa7-070253a99fc0,B-RB-3,RB,NFL,false,CONVENTIONAL,,,8,4,2
season-schema-6-completed,team-beta,Beta,a1af24d0-4711-4bb4-a7df-2bebafd419b6,B-TE-1,TE,NFL,false,CONVENTIONAL,,,16,8,2
season-schema-6-completed,team-beta,Beta,6161d323-eaca-47ce-8480-25a68c3702c3,B-TE-2,TE,NFL,false,CONVENTIONAL,,,18,9,2
season-schema-6-completed,team-beta,Beta,f72b6d33-78fb-4756-9771-003248c94252,B-WR-1,WR,NFL,false,CONVENTIONAL,,,10,5,2
season-schema-6-completed,team-beta,Beta,029a84a7-650e-4fc2-a99d-4fd9aeccdd6f,B-WR-2,WR,NFL,false,CONVENTIONAL,,,12,6,2
season-schema-6-completed,team-beta,Beta,6ab515fb-f70d-4d45-848c-4c4e04b3bf4b,B-WR-3,WR,NFL,false,CONVENTIONAL,,,14,7,2
season-schema-6-completed,team-beta,Beta,custom-beta-keeper,Custom Beta Keeper,K,LEAGUE_CUSTOM,true,KEEPER,,50,,,
